dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
coil2000.csv,4.0,4936.0,9822.0,86.0,0.2061,0.2042,0.2083,0.2091,5888922.3871,6555589.0934,41.6667,9.7778,2.7778,3.0,6.6667,7.7778,4.4444,4.4444,4.4444,4.4444
compas.csv,4.0,4936.0,5278.0,20.0,0.6156,0.6156,0.6183,0.6161,11222246.5901,11666691.0122,9.0,3.1111,4.0,4.0,14.1111,14.2222,3.2222,2.3333,3.2222,2.3333
credit.csv,3.5,4319.0,16714.0,11.0,0.5051,0.5051,0.5068,0.5068,7500027.4598,7500027.4598,6.125,4.75,4.0,4.0,13.375,13.25,4.25,4.375,4.25,4.375
default.csv,3.0,3702.0,30000.0,24.0,0.4411,0.4407,0.4427,0.4425,5571455.3715,5428598.1472,13.0,6.2857,4.0,4.0,9.1429,9.0,6.4286,4.8571,6.4286,4.8571
dis.csv,4.0,4936.0,3772.0,55.0,0.0549,0.0543,0.0545,0.0538,2222258.1142,3000035.9043,25.8889,5.8889,2.6667,2.8889,4.1111,5.1111,1.6667,2.2222,1.6667,2.2222
eeg.csv,3.5,4319.0,14980.0,15.0,0.5876,0.5879,0.5875,0.5884,7250025.6235,7250025.801,9.375,7.25,4.0,4.0,13.25,13.5,7.125,6.75,7.125,6.75
heloc.csv,3.5,4319.0,10000.0,23.0,0.5784,0.5781,0.5758,0.5751,9750024.4616,9750024.4965,8.0,3.875,4.0,4.0,13.375,13.5,4.0,3.125,4.0,3.125
jasmine.csv,4.0,4936.0,2984.0,281.0,0.4368,0.437,0.4535,0.4373,4444471.2825,4555582.2567,101.8889,49.5556,3.8889,3.8889,6.5556,6.5556,4.4444,4.7778,4.4444,4.7778
jm1.csv,4.0,4936.0,10885.0,22.0,0.4426,0.4417,0.4453,0.4441,6000027.8566,7777805.844,10.4444,3.2222,3.3333,3.6667,7.4444,9.8889,3.1111,2.7778,3.1111,2.7778
kc1.csv,4.0,4936.0,2109.0,22.0,0.3532,0.3516,0.3634,0.3605,3777807.3683,3777807.6478,7.8889,3.1111,2.4444,2.4444,4.6667,4.6667,2.6667,2.3333,2.6667,2.3333
kdd.csv,3.5,4319.0,10108.0,576.0,0.2665,0.2659,0.2802,0.2802,6875030.9845,6750030.9833,213.0,87.375,4.0,4.0,12.625,13.125,9.5,9.875,9.5,9.875
kr.csv,4.5,5553.0,3196.0,75.0,0.1793,0.1791,0.1857,0.1859,5700033.6143,5700033.6298,33.8,10.2,4.0,4.0,7.6,7.5,6.5,6.4,6.5,6.4
law.csv,4.0,4936.0,20800.0,20.0,0.0,0.0,0.0,0.0,2000036.0437,2000036.0437,17.7778,3.8889,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
madeline.csv,3.0,3702.0,3140.0,260.0,0.5244,0.5236,0.537,0.5348,10714313.4757,10857170.9184,77.0,28.0,4.0,4.0,13.4286,13.8571,7.0,6.7143,7.0,6.7143
mc1.csv,4.0,4936.0,9466.0,39.0,0.0296,0.0293,0.032,0.0381,1888924.5311,2000035.6661,17.4444,4.6667,2.0,2.2222,3.5556,3.7778,2.5556,2.2222,2.5556,2.2222
mushroom.csv,4.0,4936.0,8124.0,126.0,0.0041,0.0032,0.0042,0.0032,3333369.377,3888924.9325,55.4444,20.4444,4.0,4.0,8.4444,9.2222,7.1111,7.1111,7.1111,7.1111
national.csv,4.0,4936.0,4908.0,81.0,0.0008,0.0008,0.0,0.0,2000036.0437,2000036.0437,72.7778,21.5556,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
ringnorm.csv,3.5,4319.0,7400.0,21.0,0.5041,0.5032,0.5266,0.5185,6375030.6825,6625030.4103,5.0,4.5,4.0,4.0,10.125,10.25,4.5,4.375,4.5,4.375
scene.csv,2.5,3085.0,2407.0,305.0,0.2495,0.2489,0.2807,0.2715,4500032.9169,4500033.0079,94.8333,29.3333,4.0,4.0,5.3333,5.0,4.3333,4.0,4.3333,4.0
shill.csv,3.0,3702.0,6321.0,1066.0,0.0337,0.0342,0.0562,0.05,2000035.9535,2000035.9522,406.0,225.4286,4.0,4.0,8.5714,7.5714,4.1429,3.5714,4.1429,3.5714
shrutime.csv,3.5,4319.0,10000.0,29.0,0.3688,0.3686,0.3725,0.3724,9750030.4505,9750030.4257,12.125,6.0,4.0,4.0,15.75,15.625,5.75,5.5,5.75,5.5
sick.csv,4.0,4936.0,3772.0,53.0,0.0627,0.0635,0.0793,0.0759,1888923.9756,1888923.8675,23.3333,7.2222,3.2222,3.1111,6.0,6.1111,3.7778,3.3333,3.7778,3.3333
spambase.csv,4.0,4936.0,4601.0,58.0,0.2971,0.2955,0.3092,0.3131,5333364.3297,5333364.9506,23.2222,11.0,4.0,4.0,11.0,10.3333,6.5556,5.8889,6.5556,5.8889
sylva.csv,3.5,4319.0,14395.0,109.0,0.0449,0.0461,0.049,0.0502,2500035.2852,3125035.4597,36.25,15.625,4.0,4.0,11.125,12.5,5.25,4.125,5.25,4.125
turing.csv,3.5,4319.0,10000.0,27.0,0.5884,0.5876,0.5857,0.5857,12375025.2039,12375024.889,11.75,3.5,4.0,4.0,14.375,14.625,2.875,2.625,2.875,2.625
twonorm.csv,3.5,4319.0,7400.0,21.0,0.4784,0.4769,0.5036,0.4976,11750026.8577,12125026.7625,5.0,5.25,4.0,4.0,15.75,16.0,5.0,5.125,5.0,5.125
