dataset,run,seed,nrows,ncols,i_5CV_logloss,p_5CV_logloss,i_TST_logloss,p_TST_logloss,i_geo_complexity,p_geo_complexity,i_nfs_complexity,p_nfs_complexity,i_d,p_d,i_l,p_l,i_f,p_f,i_tree_nfs,p_tree_nfs
Bioresponse.csv,2.0,2468.0,3751.0,1777.0,0.5299,0.5243,0.5356,0.5368,7200026.2115,7400026.2233,572.6,286.0,3.6,3.8,8.8,9.2,7.6,8.2,7.6,8.2
Contaminant.csv,3.5,4319.0,2400.0,31.0,0.4186,0.4217,0.4384,0.4409,6625029.4748,6750029.2977,11.25,7.25,4.0,4.0,8.375,8.625,6.0,5.875,6.0,5.875
ECG5000.csv,1.5,1851.0,4998.0,141.0,0.0725,0.067,0.0926,0.0953,2000035.8692,2000035.8752,39.5,9.75,4.0,3.75,8.0,8.0,6.25,5.5,6.25,5.5
FICO.csv,3.5,4319.0,9871.0,40.0,0.5695,0.5666,0.5705,0.5695,9875025.6067,9500025.9258,17.75,3.375,4.0,4.0,13.125,14.25,3.375,2.375,3.375,2.375
Insurance.csv,3.5,4319.0,23548.0,74.0,0.5535,0.5534,0.5536,0.5536,1625027.369,2125027.4007,59.25,11.75,0.625,1.375,1.625,2.375,0.625,1.375,0.625,1.375
Intersectional.csv,3.5,4319.0,10000.0,25.0,0.1192,0.1193,0.1283,0.1316,5375034.0321,6125033.3511,10.0,5.25,4.0,4.0,13.25,13.25,3.5,3.25,3.5,3.25
Long.csv,3.5,4319.0,4477.0,20.0,0.157,0.1583,0.1426,0.1561,6875033.6295,7125033.4481,10.25,3.125,3.875,3.75,11.5,11.375,2.0,2.0,2.0,2.0
MagicTelescope.csv,3.0,3702.0,19020.0,11.0,0.4243,0.4241,0.4295,0.4279,7857171.2711,8142885.5841,5.7143,5.0,4.0,4.0,14.0,14.0,4.8571,5.0,4.8571,5.0
PhishingWebsites.csv,4.0,4936.0,11055.0,69.0,0.1863,0.1859,0.194,0.1942,6000030.4023,6000030.6345,27.8889,8.5556,4.0,4.0,11.8889,11.8889,6.5556,6.5556,6.5556,6.5556
Satellite.csv,4.0,4936.0,5100.0,37.0,0.0273,0.0268,0.0458,0.056,1000035.9713,1222258.1818,19.5556,6.4444,3.4444,3.7778,4.4444,4.7778,3.3333,3.3333,3.3333,3.3333
SpeedDating.csv,3.0,3702.0,8378.0,501.0,0.3523,0.3495,0.3508,0.3486,11428600.6684,12571458.3562,197.0,60.2857,4.0,4.0,14.0,15.2857,7.8571,7.0,7.8571,7.0
Titanic.csv,4.0,4936.0,2201.0,4.0,0.4932,0.494,0.5115,0.5136,5000027.5555,5000027.4227,3.0,2.6667,3.8889,3.6667,8.1111,7.5556,2.8889,2.6667,2.8889,2.6667
UCI.csv,2.0,2468.0,3333.0,3405.0,0.2483,0.2475,0.2486,0.2491,5200031.5622,5400031.4817,1199.6,635.0,4.0,4.0,10.6,10.8,6.6,6.6,6.6,6.6
ada.csv,4.0,4936.0,4562.0,103.0,0.3716,0.3717,0.4079,0.4069,4888917.4849,5111139.8606,37.6667,10.8889,4.0,4.0,10.1111,10.4444,4.6667,4.5556,4.6667,4.5556
churn.csv,3.5,4319.0,5000.0,34.0,0.2531,0.2531,0.2521,0.2549,4125031.5069,4250031.1135,18.75,10.75,4.0,4.0,9.875,10.25,8.0,7.875,8.0,7.875
clean2.csv,3.5,4319.0,6598.0,169.0,0.0,0.0,0.0,0.0,2000036.0437,2000036.0437,150.125,55.25,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0
